age_band,sex,pal,kcal_per_day,matched_kcal_level,pyramid_group,subitem,kcal_per_portion,portion_type,portion_low,portion_high,portion_point_estimate
2-5,male,active,1561.2,1600,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
2-5,male,active,1561.2,1600,"Fish, eggs & meat",Poultry,80,exact,0.7,0.7,0.7
2-5,male,active,1561.2,1600,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
2-5,male,active,1561.2,1600,"Sweets, snacks & discretionary",(total),40,lte,,2.0,2.0
2-5,female,sedentary,1126.2,1200,"Vegetables, fruits & berries",(total),,gte,5.0,,5.0
2-5,female,sedentary,1126.2,1200,"Vegetables, fruits & berries",Vegetables,30,gte,2.0,,2.0
2-5,female,sedentary,1126.2,1200,"Vegetables, fruits & berries",Legumes,130,exact,0.3,0.3,0.3
2-5,female,sedentary,1126.2,1200,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
2-5,female,sedentary,1126.2,1200,"Vegetables, fruits & berries",Berries,50,gte,0.3,,0.3
2-5,female,sedentary,1126.2,1200,Grain products & potatoes,(total),,range,5.0,6.0,5.5
2-5,female,sedentary,1126.2,1200,Grain products & potatoes,High-fibre bread/baked goods,75,range,2.0,3.0,2.5
2-5,female,sedentary,1126.2,1200,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,2.0,3.0,2.5
2-5,female,sedentary,1126.2,1200,Grain products & potatoes,"Potato, sweet potato",75,range,0.5,1.0,0.75
2-5,female,sedentary,1126.2,1200,Dairy products,(total),110,range,1.0,2.0,1.5
2-5,female,sedentary,1126.2,1200,"Nuts, seeds, oils & fats",(total),,range,3.0,4.0,3.5
2-5,female,sedentary,1126.2,1200,"Nuts, seeds, oils & fats",Nuts,90,range,0.5,1.0,0.75
2-5,female,sedentary,1126.2,1200,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.2,0.2,0.2
2-5,female,sedentary,1126.2,1200,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,2.0,3.0,2.5
2-5,female,sedentary,1126.2,1200,"Fish, eggs & meat",(total),,range,2.0,3.0,2.5
2-5,female,sedentary,1126.2,1200,"Fish, eggs & meat",Fish & seafood,80,range,0.5,1.5,1.0
2-5,female,sedentary,1126.2,1200,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
2-5,female,sedentary,1126.2,1200,"Fish, eggs & meat",Poultry,80,exact,0.5,0.5,0.5
2-5,female,sedentary,1126.2,1200,"Fish, eggs & meat",Red meat,80,exact,0.3,0.3,0.3
2-5,female,sedentary,1126.2,1200,"Sweets, snacks & discretionary",(total),40,lte,,1.0,1.0
2-5,female,moderate,1288.8,1200,"Vegetables, fruits & berries",(total),,gte,5.0,,5.0
2-5,female,moderate,1288.8,1200,"Vegetables, fruits & berries",Vegetables,30,gte,2.0,,2.0
2-5,female,moderate,1288.8,1200,"Vegetables, fruits & berries",Legumes,130,exact,0.3,0.3,0.3
2-5,female,moderate,1288.8,1200,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
2-5,female,moderate,1288.8,1200,"Vegetables, fruits & berries",Berries,50,gte,0.3,,0.3
2-5,female,moderate,1288.8,1200,Grain products & potatoes,(total),,range,5.0,6.0,5.5
2-5,female,moderate,1288.8,1200,Grain products & potatoes,High-fibre bread/baked goods,75,range,2.0,3.0,2.5
2-5,female,moderate,1288.8,1200,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,2.0,3.0,2.5
2-5,female,moderate,1288.8,1200,Grain products & potatoes,"Potato, sweet potato",75,range,0.5,1.0,0.75
2-5,female,moderate,1288.8,1200,Dairy products,(total),110,range,1.0,2.0,1.5
2-5,female,moderate,1288.8,1200,"Nuts, seeds, oils & fats",(total),,range,3.0,4.0,3.5
2-5,female,moderate,1288.8,1200,"Nuts, seeds, oils & fats",Nuts,90,range,0.5,1.0,0.75
2-5,female,moderate,1288.8,1200,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.2,0.2,0.2
2-5,female,moderate,1288.8,1200,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,2.0,3.0,2.5
2-5,female,moderate,1288.8,1200,"Fish, eggs & meat",(total),,range,2.0,3.0,2.5
2-5,female,moderate,1288.8,1200,"Fish, eggs & meat",Fish & seafood,80,range,0.5,1.5,1.0
2-5,female,moderate,1288.8,1200,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
2-5,female,moderate,1288.8,1200,"Fish, eggs & meat",Poultry,80,exact,0.5,0.5,0.5
2-5,female,moderate,1288.8,1200,"Fish, eggs & meat",Red meat,80,exact,0.3,0.3,0.3
2-5,female,moderate,1288.8,1200,"Sweets, snacks & discretionary",(total),40,lte,,1.0,1.0
2-5,female,active,1448.8,1400,"Vegetables, fruits & berries",(total),,gte,5.0,,5.0
2-5,female,active,1448.8,1400,"Vegetables, fruits & berries",Vegetables,30,gte,3.0,,3.0
2-5,female,active,1448.8,1400,"Vegetables, fruits & berries",Legumes,130,exact,0.3,0.3,0.3
2-5,female,active,1448.8,1400,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
2-5,female,active,1448.8,1400,"Vegetables, fruits & berries",Berries,50,gte,0.3,,0.3
2-5,female,active,1448.8,1400,Grain products & potatoes,(total),,range,6.0,7.0,6.5
2-5,female,active,1448.8,1400,Grain products & potatoes,High-fibre bread/baked goods,75,range,2.0,3.0,2.5
2-5,female,active,1448.8,1400,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,2.0,3.0,2.5
2-5,female,active,1448.8,1400,Grain products & potatoes,"Potato, sweet potato",75,exact,1.0,1.0,1.0
2-5,female,active,1448.8,1400,Dairy products,(total),110,exact,2.0,2.0,2.0
2-5,female,active,1448.8,1400,"Nuts, seeds, oils & fats",(total),,range,3.0,4.0,3.5
2-5,female,active,1448.8,1400,"Nuts, seeds, oils & fats",Nuts,90,range,0.5,1.0,0.75
2-5,female,active,1448.8,1400,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.2,0.2,0.2
2-5,female,active,1448.8,1400,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,2.0,3.0,2.5
2-5,female,active,1448.8,1400,"Fish, eggs & meat",(total),,range,2.0,3.0,2.5
2-5,female,active,1448.8,1400,"Fish, eggs & meat",Fish & seafood,80,range,1.0,1.5,1.25
2-5,female,active,1448.8,1400,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
2-5,female,active,1448.8,1400,"Fish, eggs & meat",Poultry,80,exact,0.6,0.6,0.6
2-5,female,active,1448.8,1400,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
2-5,female,active,1448.8,1400,"Sweets, snacks & discretionary",(total),40,lte,,2.0,2.0
6-9,male,sedentary,1550.0,1600,"Vegetables, fruits & berries",(total),,gte,6.0,,6.0
6-9,male,sedentary,1550.0,1600,"Vegetables, fruits & berries",Vegetables,30,gte,3.0,,3.0
6-9,male,sedentary,1550.0,1600,"Vegetables, fruits & berries",Legumes,130,exact,0.3,0.3,0.3
6-9,male,sedentary,1550.0,1600,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
6-9,male,sedentary,1550.0,1600,"Vegetables, fruits & berries",Berries,50,gte,0.3,,0.3
6-9,male,sedentary,1550.0,1600,Grain products & potatoes,(total),,range,7.0,8.0,7.5
6-9,male,sedentary,1550.0,1600,Grain products & potatoes,High-fibre bread/baked goods,75,range,3.0,4.0,3.5
6-9,male,sedentary,1550.0,1600,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,2.0,3.0,2.5
6-9,male,sedentary,1550.0,1600,Grain products & potatoes,"Potato, sweet potato",75,exact,1.0,1.0,1.0
6-9,male,sedentary,1550.0,1600,Dairy products,(total),110,range,2.0,3.0,2.5
6-9,male,sedentary,1550.0,1600,"Nuts, seeds, oils & fats",(total),,range,5.0,6.0,5.5
6-9,male,sedentary,1550.0,1600,"Nuts, seeds, oils & fats",Nuts,90,range,1.0,2.0,1.5
6-9,male,sedentary,1550.0,1600,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.3,0.3,0.3
6-9,male,sedentary,1550.0,1600,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,3.0,4.0,3.5
6-9,male,sedentary,1550.0,1600,"Fish, eggs & meat",(total),,exact,3.0,3.0,3.0
6-9,male,sedentary,1550.0,1600,"Fish, eggs & meat",Fish & seafood,80,range,1.0,1.5,1.25
6-9,male,sedentary,1550.0,1600,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
6-9,male,sedentary,1550.0,1600,"Fish, eggs & meat",Poultry,80,exact,0.7,0.7,0.7
6-9,male,sedentary,1550.0,1600,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
6-9,male,sedentary,1550.0,1600,"Sweets, snacks & discretionary",(total),40,lte,,2.0,2.0
6-9,male,moderate,1772.5,1800,"Vegetables, fruits & berries",(total),,gte,6.0,,6.0
6-9,male,moderate,1772.5,1800,"Vegetables, fruits & berries",Vegetables,30,gte,4.0,,4.0
6-9,male,moderate,1772.5,1800,"Vegetables, fruits & berries",Legumes,130,exact,0.3,0.3,0.3
6-9,male,moderate,1772.5,1800,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
6-9,male,moderate,1772.5,1800,"Vegetables, fruits & berries",Berries,50,gte,0.4,,0.4
6-9,male,moderate,1772.5,1800,Grain products & potatoes,(total),,range,9.0,10.0,9.5
6-9,male,moderate,1772.5,1800,Grain products & potatoes,High-fibre bread/baked goods,75,range,3.0,4.0,3.5
6-9,male,moderate,1772.5,1800,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,2.0,3.0,2.5
6-9,male,moderate,1772.5,1800,Grain products & potatoes,"Potato, sweet potato",75,range,1.0,2.0,1.5
6-9,male,moderate,1772.5,1800,Dairy products,(total),110,range,2.0,3.0,2.5
6-9,male,moderate,1772.5,1800,"Nuts, seeds, oils & fats",(total),,range,5.0,6.0,5.5
6-9,male,moderate,1772.5,1800,"Nuts, seeds, oils & fats",Nuts,90,range,1.0,2.0,1.5
6-9,male,moderate,1772.5,1800,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.3,0.3,0.3
6-9,male,moderate,1772.5,1800,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,3.0,4.0,3.5
6-9,male,moderate,1772.5,1800,"Fish, eggs & meat",(total),,range,3.0,4.0,3.5
6-9,male,moderate,1772.5,1800,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
6-9,male,moderate,1772.5,1800,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
6-9,male,moderate,1772.5,1800,"Fish, eggs & meat",Poultry,80,exact,0.9,0.9,0.9
6-9,male,moderate,1772.5,1800,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
6-9,male,moderate,1772.5,1800,"Sweets, snacks & discretionary",(total),40,lte,,3.0,3.0
6-9,male,active,1995.0,2000,"Vegetables, fruits & berries",(total),,gte,7.0,,7.0
6-9,male,active,1995.0,2000,"Vegetables, fruits & berries",Vegetables,30,gte,4.0,,4.0
6-9,male,active,1995.0,2000,"Vegetables, fruits & berries",Legumes,130,exact,0.5,0.5,0.5
6-9,male,active,1995.0,2000,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
6-9,male,active,1995.0,2000,"Vegetables, fruits & berries",Berries,50,gte,0.4,,0.4
6-9,male,active,1995.0,2000,Grain products & potatoes,(total),,range,9.0,10.0,9.5
6-9,male,active,1995.0,2000,Grain products & potatoes,High-fibre bread/baked goods,75,range,4.0,5.0,4.5
6-9,male,active,1995.0,2000,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,3.0,4.0,3.5
6-9,male,active,1995.0,2000,Grain products & potatoes,"Potato, sweet potato",75,range,1.0,2.0,1.5
6-9,male,active,1995.0,2000,Dairy products,(total),110,range,2.0,3.0,2.5
6-9,male,active,1995.0,2000,"Nuts, seeds, oils & fats",(total),,range,5.0,6.0,5.5
6-9,male,active,1995.0,2000,"Nuts, seeds, oils & fats",Nuts,90,range,1.0,2.0,1.5
6-9,male,active,1995.0,2000,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.5,0.5,0.5
6-9,male,active,1995.0,2000,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,3.0,4.0,3.5
6-9,male,active,1995.0,2000,"Fish, eggs & meat",(total),,range,3.0,4.0,3.5
6-9,male,active,1995.0,2000,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
6-9,male,active,1995.0,2000,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
6-9,male,active,1995.0,2000,"Fish, eggs & meat",Poultry,80,exact,1.0,1.0,1.0
6-9,male,active,1995.0,2000,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
6-9,male,active,1995.0,2000,"Sweets, snacks & discretionary",(total),40,lte,,4.0,4.0
6-9,female,sedentary,1445.0,1400,"Vegetables, fruits & berries",(total),,gte,5.0,,5.0
6-9,female,sedentary,1445.0,1400,"Vegetables, fruits & berries",Vegetables,30,gte,3.0,,3.0
6-9,female,sedentary,1445.0,1400,"Vegetables, fruits & berries",Legumes,130,exact,0.3,0.3,0.3
6-9,female,sedentary,1445.0,1400,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
6-9,female,sedentary,1445.0,1400,"Vegetables, fruits & berries",Berries,50,gte,0.3,,0.3
6-9,female,sedentary,1445.0,1400,Grain products & potatoes,(total),,range,6.0,7.0,6.5
6-9,female,sedentary,1445.0,1400,Grain products & potatoes,High-fibre bread/baked goods,75,range,2.0,3.0,2.5
6-9,female,sedentary,1445.0,1400,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,2.0,3.0,2.5
6-9,female,sedentary,1445.0,1400,Grain products & potatoes,"Potato, sweet potato",75,exact,1.0,1.0,1.0
6-9,female,sedentary,1445.0,1400,Dairy products,(total),110,exact,2.0,2.0,2.0
6-9,female,sedentary,1445.0,1400,"Nuts, seeds, oils & fats",(total),,range,3.0,4.0,3.5
6-9,female,sedentary,1445.0,1400,"Nuts, seeds, oils & fats",Nuts,90,range,0.5,1.0,0.75
6-9,female,sedentary,1445.0,1400,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.2,0.2,0.2
6-9,female,sedentary,1445.0,1400,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,2.0,3.0,2.5
6-9,female,sedentary,1445.0,1400,"Fish, eggs & meat",(total),,range,2.0,3.0,2.5
6-9,female,sedentary,1445.0,1400,"Fish, eggs & meat",Fish & seafood,80,range,1.0,1.5,1.25
6-9,female,sedentary,1445.0,1400,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
6-9,female,sedentary,1445.0,1400,"Fish, eggs & meat",Poultry,80,exact,0.6,0.6,0.6
6-9,female,sedentary,1445.0,1400,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
6-9,female,sedentary,1445.0,1400,"Sweets, snacks & discretionary",(total),40,lte,,2.0,2.0
6-9,female,moderate,1647.5,1600,"Vegetables, fruits & berries",(total),,gte,6.0,,6.0
6-9,female,moderate,1647.5,1600,"Vegetables, fruits & berries",Vegetables,30,gte,3.0,,3.0
6-9,female,moderate,1647.5,1600,"Vegetables, fruits & berries",Legumes,130,exact,0.3,0.3,0.3
6-9,female,moderate,1647.5,1600,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
6-9,female,moderate,1647.5,1600,"Vegetables, fruits & berries",Berries,50,gte,0.3,,0.3
6-9,female,moderate,1647.5,1600,Grain products & potatoes,(total),,range,7.0,8.0,7.5
6-9,female,moderate,1647.5,1600,Grain products & potatoes,High-fibre bread/baked goods,75,range,3.0,4.0,3.5
6-9,female,moderate,1647.5,1600,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,2.0,3.0,2.5
6-9,female,moderate,1647.5,1600,Grain products & potatoes,"Potato, sweet potato",75,exact,1.0,1.0,1.0
6-9,female,moderate,1647.5,1600,Dairy products,(total),110,range,2.0,3.0,2.5
6-9,female,moderate,1647.5,1600,"Nuts, seeds, oils & fats",(total),,range,5.0,6.0,5.5
6-9,female,moderate,1647.5,1600,"Nuts, seeds, oils & fats",Nuts,90,range,1.0,2.0,1.5
6-9,female,moderate,1647.5,1600,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.3,0.3,0.3
6-9,female,moderate,1647.5,1600,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,3.0,4.0,3.5
6-9,female,moderate,1647.5,1600,"Fish, eggs & meat",(total),,exact,3.0,3.0,3.0
6-9,female,moderate,1647.5,1600,"Fish, eggs & meat",Fish & seafood,80,range,1.0,1.5,1.25
6-9,female,moderate,1647.5,1600,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
6-9,female,moderate,1647.5,1600,"Fish, eggs & meat",Poultry,80,exact,0.7,0.7,0.7
6-9,female,moderate,1647.5,1600,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
6-9,female,moderate,1647.5,1600,"Sweets, snacks & discretionary",(total),40,lte,,2.0,2.0
6-9,female,active,1852.5,1800,"Vegetables, fruits & berries",(total),,gte,6.0,,6.0
6-9,female,active,1852.5,1800,"Vegetables, fruits & berries",Vegetables,30,gte,4.0,,4.0
6-9,female,active,1852.5,1800,"Vegetables, fruits & berries",Legumes,130,exact,0.3,0.3,0.3
6-9,female,active,1852.5,1800,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
6-9,female,active,1852.5,1800,"Vegetables, fruits & berries",Berries,50,gte,0.4,,0.4
6-9,female,active,1852.5,1800,Grain products & potatoes,(total),,range,9.0,10.0,9.5
6-9,female,active,1852.5,1800,Grain products & potatoes,High-fibre bread/baked goods,75,range,3.0,4.0,3.5
6-9,female,active,1852.5,1800,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,2.0,3.0,2.5
6-9,female,active,1852.5,1800,Grain products & potatoes,"Potato, sweet potato",75,range,1.0,2.0,1.5
6-9,female,active,1852.5,1800,Dairy products,(total),110,range,2.0,3.0,2.5
6-9,female,active,1852.5,1800,"Nuts, seeds, oils & fats",(total),,range,5.0,6.0,5.5
6-9,female,active,1852.5,1800,"Nuts, seeds, oils & fats",Nuts,90,range,1.0,2.0,1.5
6-9,female,active,1852.5,1800,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.3,0.3,0.3
6-9,female,active,1852.5,1800,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,3.0,4.0,3.5
6-9,female,active,1852.5,1800,"Fish, eggs & meat",(total),,range,3.0,4.0,3.5
6-9,female,active,1852.5,1800,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
6-9,female,active,1852.5,1800,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
6-9,female,active,1852.5,1800,"Fish, eggs & meat",Poultry,80,exact,0.9,0.9,0.9
6-9,female,active,1852.5,1800,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
6-9,female,active,1852.5,1800,"Sweets, snacks & discretionary",(total),40,lte,,3.0,3.0
10-13,male,sedentary,1775.0,1800,"Vegetables, fruits & berries",(total),,gte,6.0,,6.0
10-13,male,sedentary,1775.0,1800,"Vegetables, fruits & berries",Vegetables,30,gte,4.0,,4.0
10-13,male,sedentary,1775.0,1800,"Vegetables, fruits & berries",Legumes,130,exact,0.3,0.3,0.3
10-13,male,sedentary,1775.0,1800,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
10-13,male,sedentary,1775.0,1800,"Vegetables, fruits & berries",Berries,50,gte,0.4,,0.4
10-13,male,sedentary,1775.0,1800,Grain products & potatoes,(total),,range,9.0,10.0,9.5
10-13,male,sedentary,1775.0,1800,Grain products & potatoes,High-fibre bread/baked goods,75,range,3.0,4.0,3.5
10-13,male,sedentary,1775.0,1800,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,2.0,3.0,2.5
10-13,male,sedentary,1775.0,1800,Grain products & potatoes,"Potato, sweet potato",75,range,1.0,2.0,1.5
10-13,male,sedentary,1775.0,1800,Dairy products,(total),110,range,2.0,3.0,2.5
10-13,male,sedentary,1775.0,1800,"Nuts, seeds, oils & fats",(total),,range,5.0,6.0,5.5
10-13,male,sedentary,1775.0,1800,"Nuts, seeds, oils & fats",Nuts,90,range,1.0,2.0,1.5
10-13,male,sedentary,1775.0,1800,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.3,0.3,0.3
10-13,male,sedentary,1775.0,1800,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,3.0,4.0,3.5
10-13,male,sedentary,1775.0,1800,"Fish, eggs & meat",(total),,range,3.0,4.0,3.5
10-13,male,sedentary,1775.0,1800,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
10-13,male,sedentary,1775.0,1800,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
10-13,male,sedentary,1775.0,1800,"Fish, eggs & meat",Poultry,80,exact,0.9,0.9,0.9
10-13,male,sedentary,1775.0,1800,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
10-13,male,sedentary,1775.0,1800,"Sweets, snacks & discretionary",(total),40,lte,,3.0,3.0
10-13,male,moderate,2027.5,2000,"Vegetables, fruits & berries",(total),,gte,7.0,,7.0
10-13,male,moderate,2027.5,2000,"Vegetables, fruits & berries",Vegetables,30,gte,4.0,,4.0
10-13,male,moderate,2027.5,2000,"Vegetables, fruits & berries",Legumes,130,exact,0.5,0.5,0.5
10-13,male,moderate,2027.5,2000,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
